session_id,perfil_usuario,tipo_dispositivo,dia_semana,faixa_horaria,origem_acesso,objetivo_sessao,pageviews,tempo_busca_segundos,tempo_leitura_segundos,tempo_total_segundos,usou_busca,clicou_comunicado,clicou_link_operacional,sucesso_encontrou_o_que_queria,tipo_conteudo_principal,numero_interacoes,proporcao_tempo_leitura,abandono_rapido
867,Pesquisador,desktop,sexta,08-11,home_direta,ler_comunicado,4,7.98,75.44,93.25,0,1,0,1,News Post,5,0.809,0
868,Administrativo,desktop,sabado,17-20,busca_interna,buscar_documento,2,30.88,21.93,123.95,1,0,1,1,Document,4,0.1769,0
869,Operacional,desktop,sexta,08-11,busca_interna,buscar_documento,1,62.98,20.58,91.52,1,0,1,1,Document,3,0.2249,0
870,Tecnico,desktop,sexta,08-11,link_email,ler_comunicado,6,16.02,47.88,65.76,0,0,0,1,News Post,6,0.7281,0
871,Operacional,desktop,terca,08-11,atalho_sistema,buscar_sistema,5,17.47,18.2,72.64,0,0,1,0,Site Page,6,0.2506,0
872,Tecnico,desktop,sabado,11-14,busca_interna,buscar_documento,2,29.52,40.17,109.0,1,0,0,1,Document,3,0.3685,0
873,Pesquisador,desktop,terca,11-14,home_direta,ler_comunicado,6,8.17,102.41,116.16,0,1,0,0,News Post,7,0.8816,0
874,Pesquisador,desktop,segunda,17-20,busca_interna,buscar_documento,3,60.66,38.13,107.93,1,0,1,0,Document,5,0.3533,0
875,Administrativo,desktop,segunda,08-11,link_email,ler_comunicado,2,15.24,118.48,146.93,0,1,0,1,News Post,3,0.8064,0
876,Operacional,desktop,sexta,08-11,home_direta,acompanhar_noticias,1,10.82,40.0,67.49,0,1,0,1,News Post,2,0.5927,0
877,Pesquisador,desktop,sabado,08-11,home_direta,buscar_sistema,1,18.83,19.37,45.43,0,0,1,1,Site Page,2,0.4264,0
878,Administrativo,desktop,terca,06-08,home_direta,buscar_pessoa,1,17.15,87.58,141.38,0,0,0,1,Site Page,1,0.6195,0
879,Administrativo,desktop,segunda,08-11,home_direta,buscar_sistema,2,10.59,11.13,37.92,0,0,0,1,Site Page,2,0.2935,0
880,Operacional,desktop,terca,14-17,atalho_sistema,acompanhar_noticias,2,37.39,65.41,110.77,0,1,0,1,News Post,3,0.5905,0
881,Operacional,desktop,terca,20-06,home_direta,buscar_pessoa,1,15.54,39.45,63.25,0,0,0,0,Site Page,1,0.6237,0
882,Tecnico,desktop,quinta,20-06,link_email,ler_comunicado,4,20.28,75.5,116.01,0,0,0,1,News Post,4,0.6508,0
883,Administrativo,desktop,quarta,08-11,atalho_sistema,buscar_sistema,3,11.95,13.1,52.69,0,0,1,1,Site Page,4,0.2486,0
884,Administrativo,desktop,quarta,06-08,home_direta,buscar_sistema,1,15.88,72.37,91.35,0,0,0,0,Site Page,1,0.7922,0
885,Pesquisador,desktop,terca,08-11,atalho_sistema,ler_comunicado,4,9.06,62.99,75.56,0,0,0,1,News Post,4,0.8336,0
886,Tecnico,desktop,segunda,17-20,atalho_sistema,buscar_sistema,3,18.43,10.27,38.27,0,0,1,0,Site Page,4,0.2684,1
887,Pesquisador,desktop,sabado,08-11,busca_interna,buscar_documento,2,35.03,21.8,72.11,1,0,1,0,Document,4,0.3023,0
888,Pesquisador,desktop,sexta,08-11,home_direta,buscar_pessoa,1,86.66,46.49,152.31,1,0,0,0,Site Page,2,0.3052,0
889,Operacional,desktop,quarta,11-14,home_direta,ler_comunicado,1,6.44,151.12,164.8,0,1,0,1,News Post,2,0.917,0
890,Administrativo,desktop,terca,20-06,atalho_sistema,acompanhar_noticias,10,18.97,36.74,67.38,0,0,0,1,News Post,10,0.5453,0
891,Operacional,desktop,terca,08-11,home_direta,acompanhar_noticias,5,13.44,75.78,95.96,0,1,0,1,News Post,6,0.7897,0
892,Tecnico,desktop,sexta,08-11,atalho_sistema,buscar_sistema,1,28.52,32.18,76.67,0,0,0,1,Site Page,1,0.4197,0
893,Pesquisador,desktop,segunda,14-17,home_direta,ler_comunicado,5,19.19,73.41,102.96,0,1,0,0,News Post,6,0.713,0
894,Administrativo,desktop,quinta,17-20,busca_interna,buscar_documento,1,50.28,47.82,116.81,1,0,0,1,Document,2,0.4094,0
895,Pesquisador,desktop,sexta,14-17,home_direta,acompanhar_noticias,1,6.16,26.65,54.65,0,0,0,1,News Post,1,0.4876,0
896,Operacional,desktop,sexta,08-11,atalho_sistema,buscar_documento,4,47.77,28.01,88.67,1,0,1,1,Document,6,0.3159,0
897,Administrativo,desktop,sexta,11-14,home_direta,acompanhar_noticias,4,11.46,110.7,126.93,0,1,0,1,News Post,5,0.8721,0
898,Operacional,desktop,quinta,06-08,busca_interna,buscar_documento,4,52.37,25.74,138.2,1,0,1,1,Document,6,0.1863,0
899,Administrativo,desktop,quarta,08-11,home_direta,ler_comunicado,4,10.44,86.02,141.13,0,0,0,0,News Post,4,0.6095,0
900,Administrativo,desktop,sexta,11-14,link_email,acompanhar_noticias,4,7.22,55.17,79.45,0,1,0,1,News Post,5,0.6944,0
901,Tecnico,desktop,quinta,14-17,atalho_sistema,buscar_pessoa,1,61.86,53.46,120.28,0,0,0,1,Site Page,1,0.4445,0
902,Administrativo,desktop,quarta,14-17,home_direta,buscar_documento,7,25.87,23.21,75.1,1,0,0,0,Document,8,0.3091,0
903,Administrativo,desktop,segunda,08-11,busca_interna,buscar_documento,4,39.62,31.87,96.77,1,0,1,1,Document,6,0.3293,0
904,Pesquisador,desktop,sabado,06-08,atalho_sistema,buscar_documento,3,85.53,49.69,139.26,1,0,1,0,Document,5,0.3568,0
905,Administrativo,desktop,segunda,06-08,atalho_sistema,buscar_sistema,6,36.37,14.42,57.63,0,0,0,1,Site Page,6,0.2502,0
906,Pesquisador,desktop,sexta,11-14,home_direta,acompanhar_noticias,7,6.78,58.94,71.59,0,1,0,1,News Post,8,0.8233,0
907,Pesquisador,desktop,quinta,14-17,home_direta,buscar_sistema,3,16.99,28.11,57.66,0,0,1,0,Site Page,4,0.4875,0
908,Pesquisador,desktop,sexta,11-14,atalho_sistema,buscar_sistema,4,67.1,31.52,128.03,0,0,1,1,Site Page,5,0.2462,0
909,Administrativo,desktop,quinta,14-17,home_direta,acompanhar_noticias,4,9.77,32.13,56.76,0,1,0,1,News Post,5,0.5661,0
910,Administrativo,desktop,sexta,08-11,atalho_sistema,buscar_sistema,1,17.78,34.23,57.91,0,0,0,0,Site Page,1,0.5911,0
911,Pesquisador,desktop,terca,06-08,home_direta,ler_comunicado,2,11.99,54.28,81.2,0,1,0,1,News Post,3,0.6685,0
912,Pesquisador,desktop,sabado,14-17,busca_interna,buscar_documento,2,82.04,36.67,135.33,1,0,0,0,Document,3,0.271,0
913,Administrativo,desktop,terca,08-11,atalho_sistema,buscar_pessoa,2,23.83,17.03,53.42,0,0,0,1,Site Page,2,0.3188,0
914,Administrativo,desktop,quinta,11-14,atalho_sistema,buscar_sistema,1,16.79,53.2,77.89,0,0,1,0,Site Page,2,0.683,0
915,Pesquisador,desktop,segunda,08-11,atalho_sistema,buscar_sistema,5,60.73,13.56,104.48,0,0,0,1,Site Page,5,0.1298,0
916,Tecnico,desktop,quinta,08-11,link_email,buscar_pessoa,1,57.34,34.65690136537385,118.26747605554294,1,0,0,0,Site Page,2,0.293,0
917,Operacional,desktop,terca,06-08,home_direta,buscar_sistema,1,40.92,21.25,72.88,0,0,1,1,Site Page,2,0.2916,0
918,Administrativo,desktop,quarta,06-08,atalho_sistema,buscar_sistema,3,13.25,40.35,91.6,0,0,0,1,Site Page,3,0.4405,0
919,Administrativo,desktop,domingo,14-17,home_direta,buscar_documento,2,12.72,8.37,33.92,0,0,1,1,Document,3,0.2468,1
920,Administrativo,desktop,segunda,14-17,home_direta,acompanhar_noticias,3,19.81,98.66,135.25,0,1,0,1,News Post,4,0.7295,0
921,Pesquisador,desktop,quarta,08-11,link_email,buscar_documento,2,73.01,21.45,119.99,1,0,1,0,Document,4,0.1788,0
922,Tecnico,desktop,terca,08-11,busca_interna,buscar_documento,2,78.09,11.72,96.75,1,0,0,1,Document,3,0.1211,0
923,Pesquisador,desktop,segunda,20-06,busca_interna,buscar_sistema,4,31.86,22.32,66.92,1,0,1,1,Site Page,6,0.3335,0
924,Administrativo,desktop,segunda,06-08,home_direta,buscar_sistema,2,16.07,36.31,57.42,0,0,1,0,Site Page,3,0.6324,0
925,Pesquisador,desktop,sexta,11-14,busca_interna,buscar_documento,1,113.67,21.63,143.98,1,0,1,1,Document,3,0.1502,0
926,Pesquisador,desktop,segunda,17-20,home_direta,buscar_documento,2,45.88,49.17,114.35,1,0,0,0,Document,3,0.43,0
927,Operacional,desktop,terca,08-11,atalho_sistema,buscar_sistema,2,11.06,133.259901538627,167.14558608911338,0,0,0,1,Site Page,2,0.7973,0
928,Pesquisador,desktop,segunda,08-11,home_direta,acompanhar_noticias,3,17.43,24.65,78.87,0,1,0,1,News Post,4,0.3125,0
929,Administrativo,desktop,segunda,14-17,link_email,ler_comunicado,3,8.0,118.41,130.76,0,1,0,1,News Post,4,0.9056,0
930,Administrativo,desktop,quinta,17-20,atalho_sistema,buscar_sistema,5,39.39,30.54,86.51,0,0,1,1,Site Page,6,0.353,0
931,Operacional,desktop,sexta,11-14,home_direta,acompanhar_noticias,2,16.43,149.24,185.67,0,0,0,0,News Post,2,0.8038,0
932,Pesquisador,desktop,quarta,06-08,home_direta,acompanhar_noticias,2,10.39,44.62,70.75,0,1,0,0,News Post,3,0.6307,0
933,Operacional,desktop,quarta,11-14,busca_interna,buscar_sistema,5,24.82,31.44,66.48,1,0,0,0,Site Page,6,0.4729,0
934,Administrativo,desktop,sexta,11-14,home_direta,buscar_documento,4,56.35,30.85,102.27,0,0,1,0,Document,5,0.3017,0
935,Operacional,desktop,terca,20-06,home_direta,ler_comunicado,1,16.91,68.43,98.01,0,1,0,1,News Post,2,0.6982,0
936,Pesquisador,desktop,segunda,08-11,atalho_sistema,buscar_sistema,2,11.1,26.74,59.04,0,0,0,0,Site Page,2,0.4529,0
937,Tecnico,desktop,terca,11-14,busca_interna,ler_comunicado,6,22.69,60.69,97.04,1,0,0,1,News Post,7,0.6254,0
938,Administrativo,desktop,segunda,08-11,home_direta,buscar_documento,4,83.51,15.9,104.27,1,0,0,1,Document,5,0.1525,0
939,Administrativo,desktop,quarta,17-20,link_email,buscar_documento,1,37.2,22.92,63.39,0,0,0,1,Document,1,0.3616,0
940,Operacional,desktop,quarta,08-11,atalho_sistema,buscar_pessoa,1,38.73,39.23,101.6,0,0,0,1,Site Page,1,0.3861,0
941,Administrativo,desktop,quinta,08-11,home_direta,buscar_sistema,4,22.43,20.46,73.96,0,0,1,1,Site Page,5,0.2766,0
942,Tecnico,desktop,quinta,14-17,atalho_sistema,acompanhar_noticias,6,7.75,42.11,54.51,0,1,0,1,News Post,7,0.7725,0
943,Tecnico,desktop,segunda,17-20,atalho_sistema,ler_comunicado,3,13.55,108.39,144.22,0,1,0,0,News Post,4,0.7516,0
944,Operacional,desktop,sabado,08-11,home_direta,acompanhar_noticias,3,7.62,59.39,84.53,0,0,0,1,News Post,3,0.7026,0
945,Administrativo,desktop,sabado,08-11,home_direta,acompanhar_noticias,1,13.94,26.74,66.84,0,0,0,1,News Post,1,0.4001,0
946,Pesquisador,desktop,quarta,14-17,link_email,ler_comunicado,3,14.09,134.61,160.75,0,1,0,1,News Post,4,0.8374,0
947,Pesquisador,desktop,domingo,14-17,home_direta,buscar_documento,4,20.13,25.99,65.95,0,0,1,1,Document,5,0.3941,0
948,Administrativo,desktop,sabado,11-14,home_direta,buscar_pessoa,1,25.22,42.35,87.96,1,0,0,1,Site Page,2,0.4815,0
949,Tecnico,mobile_app,quinta,06-08,busca_interna,buscar_documento,3,74.19,29.05,114.78,1,0,1,0,Document,5,0.2531,0
950,Administrativo,desktop,quarta,08-11,link_email,ler_comunicado,2,12.2,73.32,98.97,0,1,0,1,News Post,3,0.7408,0
951,Pesquisador,desktop,sexta,17-20,link_email,acompanhar_noticias,2,5.48,66.44,86.91,0,0,0,1,News Post,2,0.7645,0
952,Tecnico,desktop,quinta,20-06,busca_interna,buscar_sistema,1,89.87,40.47,137.13,1,0,1,1,Site Page,3,0.2951,0
953,Pesquisador,desktop,segunda,06-08,home_direta,buscar_pessoa,2,48.7,8.3,83.58,0,0,0,1,Site Page,2,0.0993,0
954,Pesquisador,desktop,quarta,06-08,link_email,ler_comunicado,1,15.92,97.5,116.01,0,1,0,1,News Post,2,0.8404,0
955,Pesquisador,desktop,quarta,17-20,busca_interna,buscar_documento,3,20.63,12.14,64.63,1,0,1,1,Document,5,0.1878,0
956,Administrativo,desktop,segunda,08-11,busca_interna,buscar_documento,1,62.49,30.58,103.33,1,0,0,0,Document,2,0.2959,0
957,Operacional,desktop,terca,08-11,busca_interna,buscar_pessoa,4,125.55,22.83,166.19,1,0,0,1,Site Page,5,0.1374,0
958,Tecnico,desktop,terca,14-17,atalho_sistema,buscar_sistema,4,17.48,39.38,83.87,0,0,1,1,Site Page,5,0.4695,0
959,Tecnico,desktop,quarta,08-11,link_email,buscar_documento,5,29.3,42.95,95.54,1,0,0,0,Document,6,0.4495,0
960,Pesquisador,desktop,segunda,11-14,home_direta,buscar_documento,2,9.63,33.8,72.79,0,0,1,1,Document,3,0.4643,0
961,Administrativo,desktop,quarta,08-11,home_direta,buscar_pessoa,3,46.02,8.21,60.14,1,0,0,1,Site Page,4,0.1365,0
962,Administrativo,desktop,terca,17-20,atalho_sistema,buscar_sistema,2,9.42,46.76,66.3,0,0,1,1,Site Page,3,0.7053,0
963,Tecnico,desktop,sexta,11-14,atalho_sistema,buscar_sistema,1,21.37,33.81,73.81,0,0,1,1,Site Page,2,0.4581,0
964,Tecnico,desktop,quinta,06-08,link_email,acompanhar_noticias,3,5.65,136.56,172.12,0,1,0,1,News Post,4,0.7934,0
965,Tecnico,desktop,quinta,08-11,home_direta,acompanhar_noticias,1,14.8,25.31,50.04,0,1,0,0,News Post,2,0.5058,0
966,Administrativo,desktop,quarta,14-17,home_direta,ler_comunicado,8,6.64,86.35,137.63,0,1,0,1,News Post,9,0.6274,0
967,Tecnico,desktop,sexta,08-11,home_direta,buscar_documento,4,60.54,28.3,93.55,1,0,1,0,Document,6,0.3025,0
968,Administrativo,desktop,quinta,20-06,atalho_sistema,buscar_sistema,3,10.38,26.87,51.57,0,0,1,1,Site Page,4,0.521,0
969,Administrativo,desktop,domingo,11-14,busca_interna,buscar_pessoa,3,39.61,32.47,110.43,1,0,0,1,Site Page,4,0.294,0
970,Tecnico,desktop,segunda,08-11,atalho_sistema,buscar_sistema,5,15.78,17.27,45.78,0,0,1,0,Site Page,6,0.3772,0
971,Administrativo,desktop,segunda,08-11,atalho_sistema,buscar_sistema,2,22.86,34.72,73.7,0,0,0,1,Site Page,2,0.4711,0
972,Tecnico,desktop,domingo,14-17,busca_interna,ler_comunicado,1,24.63,67.32,99.18,1,1,0,1,News Post,3,0.6788,0
973,Pesquisador,desktop,quinta,11-14,link_email,ler_comunicado,5,9.02,53.3,78.22,0,1,0,1,News Post,6,0.6814,0
974,Pesquisador,desktop,quinta,06-08,atalho_sistema,acompanhar_noticias,7,7.54,29.82,39.26,0,1,0,1,News Post,8,0.7596,0
975,Tecnico,desktop,sexta,06-08,atalho_sistema,buscar_documento,1,17.81,38.41,60.03,0,0,1,0,Document,2,0.6398,0
976,Administrativo,desktop,sexta,11-14,atalho_sistema,buscar_documento,3,18.09,33.46,70.01,0,0,0,1,Document,3,0.4779,0
977,Tecnico,desktop,quarta,17-20,atalho_sistema,buscar_sistema,4,48.09,9.37,72.62,0,0,1,1,Site Page,5,0.129,0
978,Operacional,desktop,quinta,14-17,home_direta,acompanhar_noticias,5,1.45,27.98,31.54,0,1,0,0,News Post,6,0.8871,1
979,Operacional,desktop,segunda,20-06,home_direta,acompanhar_noticias,2,19.59,57.73,102.55,0,1,0,0,News Post,3,0.5629,0
980,Tecnico,desktop,domingo,08-11,link_email,acompanhar_noticias,5,9.41,43.09,85.03,0,1,0,1,News Post,6,0.5068,0
981,Pesquisador,desktop,quarta,06-08,home_direta,buscar_sistema,2,25.85,49.93,91.94,0,0,1,1,Site Page,3,0.5431,0
982,Tecnico,desktop,segunda,14-17,atalho_sistema,acompanhar_noticias,8,11.94,56.9,77.3,0,0,0,1,News Post,8,0.7361,0
983,Pesquisador,desktop,quarta,11-14,busca_interna,buscar_pessoa,2,85.99,25.58,141.09,1,0,0,1,Site Page,3,0.1813,0
984,Administrativo,desktop,terca,08-11,atalho_sistema,buscar_pessoa,3,16.82,13.72,49.59,0,0,0,0,Site Page,3,0.2767,0
985,Tecnico,desktop,segunda,08-11,atalho_sistema,acompanhar_noticias,5,39.28,63.14,117.58,0,1,0,1,News Post,6,0.537,0
986,Administrativo,desktop,terca,17-20,link_email,buscar_pessoa,4,49.48,23.17,91.97,1,0,0,1,Site Page,5,0.2519,0
987,Pesquisador,desktop,quarta,08-11,atalho_sistema,buscar_documento,1,52.4,17.52,70.9,0,0,0,1,Document,1,0.2471,0
988,Operacional,desktop,segunda,08-11,home_direta,buscar_pessoa,3,29.96,19.51,65.02,0,0,0,0,Site Page,3,0.3001,0
989,Tecnico,desktop,quinta,11-14,link_email,buscar_documento,4,37.66,30.45,79.22,0,0,1,1,Document,5,0.3844,0
990,Tecnico,desktop,domingo,14-17,home_direta,buscar_sistema,3,99.45,9.92,120.44,0,0,1,1,Site Page,4,0.0824,0
991,Tecnico,desktop,segunda,14-17,atalho_sistema,ler_comunicado,9,5.78,52.29,68.75,0,1,0,1,News Post,10,0.7606,0
992,Pesquisador,desktop,quarta,06-08,busca_interna,buscar_pessoa,4,18.54,16.39,47.68,1,0,0,1,Site Page,5,0.3438,0
993,Pesquisador,mobile_web,quinta,08-11,home_direta,ler_comunicado,2,15.16,66.83,106.34,0,1,0,1,News Post,3,0.6285,0
994,Pesquisador,desktop,segunda,08-11,busca_interna,buscar_documento,1,86.52,11.11,113.84,1,0,0,0,Document,2,0.0976,0
995,Tecnico,desktop,terca,11-14,home_direta,ler_comunicado,2,14.8,89.33,119.64,0,1,0,1,News Post,3,0.7467,0
996,Pesquisador,desktop,quarta,14-17,home_direta,buscar_pessoa,1,26.53,25.36,74.81,0,0,0,0,Site Page,1,0.339,0
997,Pesquisador,desktop,segunda,14-17,link_email,acompanhar_noticias,7,8.94,92.77,113.45,0,1,0,1,News Post,8,0.8177,0
998,Pesquisador,desktop,quarta,08-11,busca_interna,buscar_documento,3,36.34,7.71,64.42,1,0,1,0,Document,5,0.1197,0
999,Pesquisador,mobile_app,domingo,11-14,atalho_sistema,buscar_sistema,7,35.53,13.42,58.84,0,0,0,1,Site Page,7,0.2281,0
1000,Operacional,desktop,sexta,08-11,busca_interna,buscar_documento,3,59.33,22.0,90.01,1,0,1,1,Document,5,0.2444,0
1001,Pesquisador,desktop,quinta,08-11,link_email,buscar_documento,3,10.82,16.68,48.03,0,0,0,1,Document,3,0.3473,0
1002,Pesquisador,desktop,segunda,11-14,atalho_sistema,buscar_documento,2,15.31,70.73,157.44,0,0,0,0,Document,2,0.4493,0
1003,Operacional,desktop,segunda,11-14,atalho_sistema,buscar_sistema,3,25.1,18.29,58.52,0,0,1,1,Site Page,4,0.3125,0
1004,Administrativo,desktop,quarta,06-08,link_email,ler_comunicado,7,11.38,25.51,54.37,0,1,0,1,News Post,8,0.4692,0
1005,Tecnico,desktop,sexta,14-17,home_direta,acompanhar_noticias,4,16.63,87.7,138.26,0,1,0,0,News Post,5,0.6343,0
1006,Pesquisador,desktop,quarta,08-11,link_email,ler_comunicado,3,6.67,163.21,184.35,0,0,0,1,News Post,3,0.8853,0
1007,Administrativo,desktop,quarta,14-17,atalho_sistema,buscar_sistema,4,31.87,20.29,99.96,0,0,1,0,Site Page,5,0.203,0
1008,Tecnico,desktop,quarta,11-14,home_direta,buscar_documento,2,46.22,35.78,84.6,0,0,1,0,Document,3,0.4229,0
1009,Administrativo,desktop,quinta,08-11,atalho_sistema,ler_comunicado,1,7.53,67.97,109.34,0,1,0,1,News Post,2,0.6216,0
1010,Tecnico,desktop,quinta,11-14,atalho_sistema,buscar_documento,1,55.18,15.05,77.97,1,0,0,0,Document,2,0.193,0
1011,Tecnico,desktop,terca,08-11,busca_interna,ler_comunicado,5,14.42,28.6,48.87,1,1,0,1,News Post,7,0.5852,0
1012,Administrativo,desktop,sabado,08-11,atalho_sistema,buscar_pessoa,3,17.56,10.86,53.37,0,0,0,1,Site Page,3,0.2035,0
1013,Administrativo,desktop,terca,14-17,home_direta,ler_comunicado,5,10.53,91.34,118.34,0,1,0,0,News Post,6,0.7718,0
1014,Administrativo,desktop,segunda,20-06,link_email,ler_comunicado,5,9.69,30.27,51.52,0,1,0,1,News Post,6,0.5875,0
1015,Pesquisador,desktop,sabado,11-14,link_email,ler_comunicado,4,9.69,66.12,76.38,0,1,0,1,News Post,5,0.8657,0
1016,Operacional,desktop,quinta,17-20,home_direta,buscar_sistema,2,18.71,29.38,60.93,0,0,1,1,Site Page,3,0.4822,0
1017,Pesquisador,desktop,quarta,17-20,home_direta,ler_comunicado,2,7.96,48.79,60.51,0,1,0,0,News Post,3,0.8063,0
1018,Administrativo,desktop,terca,08-11,busca_interna,buscar_documento,3,164.49,37.19,217.31,1,0,1,1,Document,5,0.1711,0
1019,Operacional,desktop,quarta,08-11,atalho_sistema,buscar_documento,1,28.21,7.62,93.62,0,0,1,0,Document,2,0.0814,0
1020,Pesquisador,desktop,sabado,06-08,atalho_sistema,buscar_sistema,3,18.99,15.93,46.59,0,0,1,1,Site Page,4,0.3419,0
1021,Operacional,desktop,quarta,17-20,link_email,ler_comunicado,5,8.26,129.67,142.28,0,1,0,0,News Post,6,0.9114,0
1022,Operacional,desktop,segunda,14-17,busca_interna,buscar_pessoa,4,134.18,42.5,198.19,1,0,0,0,Site Page,5,0.2144,0
1023,Administrativo,desktop,segunda,08-11,atalho_sistema,ler_comunicado,4,13.66,208.03,237.62,0,1,0,1,News Post,5,0.8755,0
1024,Operacional,desktop,sexta,17-20,busca_interna,buscar_pessoa,1,43.21,58.88,113.39,1,0,0,1,Site Page,2,0.5193,0
1025,Pesquisador,desktop,quarta,08-11,link_email,buscar_documento,4,41.51,32.76,92.74,1,0,1,1,Document,6,0.3532,0
1026,Pesquisador,desktop,sexta,08-11,home_direta,buscar_sistema,1,19.75,4.64,30.97,0,0,1,1,Site Page,2,0.1498,1
1027,Administrativo,desktop,terca,14-17,busca_interna,buscar_documento,2,73.78,26.55,113.57,1,0,1,0,Document,4,0.2338,0
1028,Administrativo,desktop,sexta,14-17,busca_interna,buscar_documento,2,63.84,23.86,91.59,1,0,1,1,Document,4,0.2605,0
1029,Administrativo,desktop,segunda,17-20,home_direta,buscar_pessoa,2,30.53,9.86,49.87,0,0,0,1,Site Page,2,0.1977,0
1030,Operacional,desktop,sabado,08-11,atalho_sistema,ler_comunicado,3,10.83,292.06,323.0,0,0,0,1,News Post,3,0.9042,0
1031,Tecnico,desktop,quinta,11-14,home_direta,ler_comunicado,4,9.87,77.06,102.2,0,1,0,1,News Post,5,0.754,0
1032,Pesquisador,desktop,sabado,08-11,busca_interna,buscar_documento,4,53.59,47.52,109.39,1,0,1,0,Document,6,0.4344,0
1033,Tecnico,desktop,sexta,06-08,link_email,buscar_documento,2,13.08,15.43,52.43,0,0,1,1,Document,3,0.2943,0
1034,Operacional,desktop,sabado,08-11,atalho_sistema,buscar_sistema,3,30.06,64.87,102.35,0,0,1,1,Site Page,4,0.6338,0
1035,Administrativo,desktop,segunda,11-14,busca_interna,buscar_pessoa,1,45.81,14.17,66.09,1,0,0,1,Site Page,2,0.2144,0
1036,Pesquisador,desktop,quinta,11-14,home_direta,buscar_documento,2,43.24,17.98,94.93,0,0,0,0,Document,2,0.1894,0
1037,Operacional,desktop,segunda,20-06,atalho_sistema,acompanhar_noticias,3,9.44,53.11,69.31,0,1,0,1,News Post,4,0.7663,0
1038,Pesquisador,desktop,sexta,08-11,link_email,ler_comunicado,1,5.73,27.22,58.92,0,0,0,0,News Post,1,0.462,0
1039,Operacional,desktop,terca,17-20,home_direta,ler_comunicado,3,7.78,65.66,79.16,0,1,0,1,News Post,4,0.8295,0
1040,Operacional,desktop,sexta,08-11,home_direta,acompanhar_noticias,3,13.64,23.24,58.8,0,1,0,1,News Post,4,0.3952,0
1041,Administrativo,desktop,terca,06-08,atalho_sistema,buscar_documento,1,23.53,28.17,52.86,0,0,0,0,Document,1,0.5329,0
1042,Tecnico,mobile_app,quinta,08-11,atalho_sistema,buscar_documento,3,21.05,13.46,43.55,0,0,1,1,Document,4,0.3091,0
1043,Pesquisador,desktop,quarta,08-11,atalho_sistema,buscar_documento,3,6.08,18.1,49.15,0,0,1,1,Document,4,0.3683,0
1044,Pesquisador,desktop,terca,08-11,atalho_sistema,buscar_pessoa,3,42.12,14.32,73.25,1,0,0,1,Site Page,4,0.1955,0
1045,Administrativo,desktop,quarta,17-20,link_email,buscar_sistema,4,25.25,21.53,55.17,0,0,0,1,Site Page,4,0.3902,0
1046,Operacional,desktop,sabado,11-14,home_direta,acompanhar_noticias,1,5.96,103.02,119.34,0,0,0,1,News Post,1,0.8632,0
1047,Tecnico,desktop,sexta,14-17,busca_interna,ler_comunicado,6,35.57,26.25,64.49,1,0,0,1,News Post,7,0.407,0
1048,Pesquisador,desktop,sexta,14-17,atalho_sistema,buscar_documento,1,41.74,7.59,55.25,1,0,0,0,Document,2,0.1374,0
1049,Operacional,desktop,quarta,08-11,atalho_sistema,buscar_sistema,3,56.5,18.24,79.26,0,0,0,1,Site Page,3,0.2301,0
1050,Tecnico,desktop,quarta,14-17,home_direta,ler_comunicado,1,7.72,189.56,214.46,0,1,0,1,News Post,2,0.8839,0
1051,Tecnico,desktop,sexta,11-14,link_email,buscar_sistema,5,33.27,37.92,88.47,0,0,1,0,Site Page,6,0.4286,0
1052,Administrativo,desktop,quarta,08-11,atalho_sistema,ler_comunicado,8,7.82,180.97,199.06,0,1,0,1,News Post,9,0.9091,0
1053,Administrativo,desktop,quarta,06-08,link_email,buscar_pessoa,1,32.0,32.34,71.61,0,0,0,0,Site Page,1,0.4516,0
1054,Administrativo,desktop,quarta,06-08,atalho_sistema,acompanhar_noticias,10,13.49,66.83,108.27,0,0,0,1,News Post,10,0.6173,0
1055,Tecnico,desktop,quarta,11-14,atalho_sistema,acompanhar_noticias,3,11.42,70.67,92.15,0,1,0,1,News Post,4,0.7669,0
1056,Pesquisador,desktop,terca,06-08,busca_interna,buscar_documento,1,33.7,170.86787119292535,224.05270020092973,1,0,1,1,Document,3,0.7626,0
1057,Administrativo,desktop,quarta,06-08,atalho_sistema,buscar_sistema,1,27.87,31.64,75.47,0,0,1,0,Site Page,2,0.4192,0
1058,Tecnico,desktop,segunda,11-14,busca_interna,acompanhar_noticias,5,27.16,66.5,104.79,1,1,0,1,News Post,7,0.6346,0
1059,Tecnico,desktop,segunda,08-11,busca_interna,buscar_pessoa,4,44.77,12.41,97.04,1,0,0,1,Site Page,5,0.1279,0
1060,Tecnico,desktop,quinta,14-17,link_email,buscar_pessoa,2,40.54,45.47,90.9,1,0,0,1,Site Page,3,0.5002,0
1061,Pesquisador,desktop,sabado,08-11,link_email,ler_comunicado,2,6.52,39.14,53.31,0,1,0,1,News Post,3,0.7342,0
1062,Tecnico,desktop,terca,11-14,atalho_sistema,buscar_sistema,6,32.33,37.91,72.25,0,0,0,1,Site Page,6,0.5247,0
1063,Tecnico,desktop,segunda,06-08,atalho_sistema,buscar_sistema,1,28.92,17.24,80.78,0,0,1,0,Site Page,2,0.2134,0
1064,Pesquisador,desktop,quinta,14-17,home_direta,buscar_pessoa,3,29.53,13.58,70.78,1,0,0,1,Site Page,4,0.1919,0
